"CustomerID","Title","FirstName","MiddleName","LastName","Suffix","AddressLine1","AddressLine2","City","StateProvinceName","CountryRegionName","PostalCode","PhoneNumber","BirthDate","Education","Occupation","Gender","MaritalStatus","HomeOwnerFlag","NumberCarsOwned","NumberChildrenAtHome","TotalChildren","YearlyIncome","LastUpdated","BikeBuyer","AvgMonthSpend","Age","clustering"
11000,"NULL","Jon","V","Yang","NULL","3761 N. 14th St","NULL","Rockhampton","Queensland","Australia","4700","1 (11) 500 555-0162",1986-04-08,"Bachelors","Skilled Manual","M","M",1,1,1,1,62501,"2017-03-06",1,58.91,38,"1"
11001,"NULL","Eugene","L","Huang","NULL","2243 W St.","NULL","Seaford","Victoria","Australia","3198","1 (11) 500 555-0110",1985-05-14,"Bachelors","Skilled Manual","M","S",0,1,0,0,60339,"2017-03-06",0,55.72,39,"2"
11002,"NULL","Ruben","NULL","Torres","NULL","5844 Linden Land","NULL","Hobart","Tasmania","Australia","7001","1 (11) 500 555-0184",1985-08-12,"Bachelors","Clerical","M","M",1,2,1,2,85757,"2017-03-06",1,52.01,39,"1"
11003,"NULL","Christy","NULL","Zhu","NULL","1825 Village Pl.","NULL","North Ryde","New South Wales","Australia","2113","1 (11) 500 555-0162",1988-02-15,"Bachelors","Management","F","S",0,2,0,0,112042,"2017-03-06",1,55.6,37,"2"
11004,"NULL","Elizabeth","NULL","Johnson","NULL","7553 Harness Circle","NULL","Wollongong","New South Wales","Australia","2500","1 (11) 500 555-0131",1988-08-08,"Bachelors","Management","F","S",0,1,0,0,110267,"2017-03-06",0,52.22,36,"2"
11005,"NULL","Julio","NULL","Ruiz","NULL","7305 Humphrey Drive","NULL","East Brisbane","Queensland","Australia","4169","1 (11) 500 555-0151",1985-08-05,"Bachelors","Management","M","S",1,1,0,0,112804,"2017-03-06",0,56.97,39,"1"
11006,"NULL","Janet","G","Alvarez","NULL","2612 Berry Dr","NULL","Matraville","New South Wales","Australia","2036","1 (11) 500 555-0184",1985-12-06,"Bachelors","Management","F","S",1,2,0,0,110590,"2017-03-06",0,53.55,39,"2"
11007,"NULL","Marco","NULL","Mehta","NULL","942 Brook Street","NULL","Warrnambool","Victoria","Australia","3280","1 (11) 500 555-0126",1984-05-09,"Bachelors","Management","M","M",1,2,0,0,105642,"2017-03-06",1,59.68,40,"1"
11008,"NULL","Rob","NULL","Verhoff","NULL","624 Peabody Road","NULL","Bendigo","Victoria","Australia","3550","1 (11) 500 555-0164",1984-07-07,"Bachelors","Management","F","S",1,2,0,0,108543,"2017-03-06",1,51.88,40,"2"
11009,"NULL","Shannon","C","Carlson","NULL","3839 Northgate Road","NULL","Hervey Bay","Queensland","Australia","4655","1 (11) 500 555-0110",1984-04-01,"Bachelors","Skilled Manual","M","S",0,2,0,0,52091,"2017-03-06",1,58.98,40,"2"
11010,"NULL","Jacquelyn","C","Suarez","NULL","7800 Corrinne Court","NULL","East Brisbane","Queensland","Australia","4169","1 (11) 500 555-0169",1984-02-06,"Bachelors","Clerical","F","S",0,2,0,0,84889,"2017-03-06",0,53.98,41,"2"
11011,"NULL","Curtis","NULL","Lu","NULL","1224 Shoenic","NULL","East Brisbane","Queensland","Australia","4169","1 (11) 500 555-0117",1983-11-04,"Bachelors","Manual","M","M",0,1,1,2,34874,"2017-03-06",1,54.15,41,"1"
11012,"NULL","Lauren","M","Walker","NULL","4785 Scott Street","NULL","Bremerton","Washington","United States","98312","717-555-0164",1988-01-18,"Bachelors","Skilled Manual","F","M",0,0,0,1,57972,"2017-03-06",0,49.23,37,"2"
11013,"NULL","Ian","M","Jenkins","NULL","7902 Hudson Ave.","NULL","Lebanon","Oregon","United States","97355","817-555-0185",1988-08-06,"Bachelors","Clerical","M","M",1,3,0,2,79011,"2017-03-06",0,49.46,36,"1"
11014,"NULL","Sydney","NULL","Bennett","NULL","9011 Tank Drive","NULL","Redmond","Washington","United States","98052","431-555-0156",1988-05-09,"Bachelors","Management","F","S",0,2,0,0,110911,"2017-03-06",1,51.72,36,"2"
11015,"NULL","Chloe","NULL","Young","NULL","244 Willow Pass Road","NULL","Burbank","California","United States","91502","208-555-0142",1999-02-27,"Partial College","Clerical","F","S",0,1,0,0,85713,"2017-03-06",0,53.04,25,"2"
11016,"NULL","Wyatt","L","Hill","NULL","9666 Northridge Ct.","NULL","Imperial Beach","California","United States","91932","135-555-0171",1999-04-28,"Partial College","Clerical","M","M",0,1,0,0,85970,"2017-03-06",1,50.4,25,"1"
11017,"NULL","Shannon","NULL","Wang","NULL","7330 Saddlehill Lane","NULL","Sunbury","Victoria","Australia","3429","1 (11) 500 555-0195",1964-06-26,"High School","Manual","F","S",1,1,1,1,26570,"2017-03-06",0,44.63,60,"3"
11018,"NULL","Clarence","D","Rai","NULL","244 Rivewview","NULL","Bendigo","Victoria","Australia","3550","1 (11) 500 555-0137",1964-10-09,"Partial College","Management","M","S",1,2,0,1,111928,"2017-03-06",0,55.37,60,"1"
11019,"NULL","Luke","L","Lal","NULL","7832 Landing Dr","NULL","Langley","British Columbia","Canada","V3A 4R2","262-555-0112",1998-03-07,"High School","Skilled Manual","M","S",0,1,0,0,53575,"2017-03-06",1,48.17,26,"2"
11020,"NULL","Jordan","C","King","NULL","7156 Rose Dr.","NULL","Metchosin","British Columbia","Canada","V9","550-555-0163",1998-09-20,"High School","Clerical","M","S",0,0,0,0,84287,"2017-03-06",0,53.75,26,"2"
11021,"NULL","Destiny","NULL","Wilson","NULL","8148 W. Lake Dr.","NULL","Beaverton","Oregon","United States","97005","622-555-0158",1998-09-03,"Partial College","Clerical","F","S",0,2,0,0,86642,"2017-03-06",1,52.93,26,"2"
11022,"NULL","Ethan","G","Zhang","NULL","1769 Nicholas Drive","NULL","Bellingham","Washington","United States","98225","589-555-0185",1998-10-12,"Partial College","Clerical","M","M",0,0,0,0,76807,"2017-03-06",1,50.43,26,"1"
11023,"NULL","Seth","M","Edwards","NULL","4499 Valley Crest","NULL","Bellflower","California","United States","90706","452-555-0188",1998-10-11,"Partial College","Management","M","M",0,2,0,0,102692,"2017-03-06",1,51.24,26,"2"
11024,"NULL","Russell","NULL","Xie","NULL","8734 Oxford Place","NULL","Concord","California","United States","94519","746-555-0186",1998-09-17,"Partial College","Clerical","M","M",0,2,0,0,78874,"2017-03-06",1,49.76,26,"1"
11025,"NULL","Alejandro","NULL","Beck","NULL","2596 Franklin Canyon Road","NULL","Hawthorne","Queensland","Australia","4171","1 (11) 500 555-0178",1965-12-23,"Partial High School","Manual","M","M",1,1,1,2,30911,"2017-03-06",0,50.72,59,"1"
11026,"NULL","Harold","NULL","Sai","NULL","8211 Leeds Ct.","NULL","Goulburn","New South Wales","Australia","2580","1 (11) 500 555-0131",1966-04-03,"Partial College","Skilled Manual","M","S",1,1,0,1,61043,"2017-03-06",1,50.91,58,"2"
11027,"NULL","Jessie","R","Zhao","NULL","213 Valencia Place","NULL","Warrnambool","Victoria","Australia","3280","1 (11) 500 555-0184",1966-12-07,"Partial College","Clerical","M","M",1,0,2,2,82684,"2017-03-06",1,53.86,58,"1"
11028,"NULL","Jill","NULL","Jimenez","NULL","9111 Rose Ann Ave","NULL","St. Leonards","New South Wales","Australia","2065","1 (11) 500 555-0116",1966-04-11,"Partial College","Manual","F","M",1,1,1,2,32932,"2017-03-06",0,48.51,58,"3"
11029,"NULL","Jimmy","L","Moreno","NULL","6385 Mark Twain","NULL","Bendigo","Victoria","Australia","3550","1 (11) 500 555-0146",1966-12-21,"Partial College","Skilled Manual","M","M",1,1,1,2,57506,"2017-03-06",1,49.95,58,"3"
11030,"NULL","Bethany","G","Yuan","NULL","636 Vine Hill Way","NULL","Cloverdale","South Australia","Australia","6105","1 (11) 500 555-0182",1967-02-22,"Partial High School","Skilled Manual","F","M",1,1,0,2,60267,"2017-03-06",1,49.56,58,"3"
11031,"NULL","Theresa","G","Ramos","NULL","6465 Detroit Ave.","NULL","Matraville","New South Wales","Australia","2036","1 (11) 500 555-0195",1967-08-22,"High School","Skilled Manual","F","M",1,0,0,2,55969,"2017-03-06",1,48.58,57,"3"
11032,"NULL","Denise","NULL","Stone","NULL","626 Bentley Street","NULL","Melbourne","Victoria","Australia","3000","1 (11) 500 555-0169",1967-06-11,"High School","Skilled Manual","F","M",1,1,1,2,58918,"2017-03-06",1,49.58,57,"3"
11033,"NULL","Jaime","NULL","Nath","NULL","5927 Rainbow Dr","NULL","Milsons Point","New South Wales","Australia","2061","1 (11) 500 555-0137",1967-09-23,"High School","Skilled Manual","M","M",1,1,1,2,51219,"2017-03-06",0,51.75,57,"3"
11034,"NULL","Ebony","NULL","Gonzalez","NULL","5167 Condor Place","NULL","North Sydney","New South Wales","Australia","2055","1 (11) 500 555-0136",1967-06-19,"High School","Skilled Manual","F","M",1,0,0,2,51038,"2017-03-06",1,48.13,57,"3"
11035,"NULL","Wendy","NULL","Dominguez","NULL","1873 Mt. Whitney Dr","NULL","Cranbourne","Victoria","Australia","3977","1 (11) 500 555-0177",1968-02-24,"Partial High School","Skilled Manual","F","M",1,0,1,2,60445,"2017-03-06",1,49.59,56,"3"
11036,"NULL","Jennifer","C","Russell","NULL","3981 Augustine Drive","NULL","National City","California","United States","91950","115-555-0183",1998-12-18,"Partial College","Skilled Manual","F","M",0,2,0,0,57167,"2017-03-06",0,48.18,26,"2"
11037,"NULL","Chloe","M","Garcia","NULL","8915 Woodside Way","NULL","Cliffside","British Columbia","Canada","V8Y 1L1","229-555-0112",1997-11-27,"Partial High School","Manual","F","S",0,1,0,0,35666,"2017-03-06",0,48.33,27,"2"
11038,"NULL","Diana","F","Hernandez","NULL","8357 Sandy Cove Lane","NULL","Lavender Bay","New South Wales","Australia","2060","1 (11) 500 555-0114",1968-03-23,"Partial High School","Manual","F","M",1,0,0,2,28892,"2017-03-06",0,45.99,56,"3"
11039,"NULL","Marc","J","Martin","NULL","9353 Creekside Dr.","NULL","Wollongong","New South Wales","Australia","2500","1 (11) 500 555-0183",1968-12-17,"Partial College","Management","M","M",1,1,1,2,104520,"2017-03-06",1,64.33,56,"3"
11040,"NULL","Jesse","NULL","Murphy","NULL","3350 Kingswood Circle","NULL","Tacoma","Washington","United States","98403","961-555-0176",1997-08-01,"Partial College","Skilled Manual","M","M",0,1,0,0,53990,"2017-03-06",0,48.3,27,"2"
11041,"NULL","Amanda","M","Carter","NULL","5826 Escobar","NULL","Glendale","California","United States","91203","295-555-0145",1997-10-16,"Partial College","Clerical","F","M",0,3,0,0,81882,"2017-03-06",0,50.06,27,"2"
11042,"NULL","Megan","J","Sanchez","NULL","1397 Paraiso Ct.","NULL","Los Angeles","California","United States","90012","404-555-0199",1997-06-13,"Partial College","Management","F","M",1,3,0,0,109807,"2017-03-06",1,51.4,27,"3"
11043,"NULL","Nathan","M","Simmons","NULL","1170 Shaw Rd","NULL","Glendale","California","United States","91203","296-555-0181",1996-02-24,"Partial College","Skilled Manual","M","M",0,1,0,0,58125,"2017-03-06",1,48.54,28,"2"
11044,"NULL","Adam","L","Flores","NULL","6935 Candle Dr","NULL","Hervey Bay","Queensland","Australia","4655","1 (11) 500 555-0163",1969-05-24,"Partial High School","Skilled Manual","M","M",1,1,1,2,51888,"2017-03-06",0,53.85,55,"3"
11045,"NULL","Leonard","G","Nara","NULL","7466 La Vista Ave.","NULL","Matraville","New South Wales","Australia","2036","1 (11) 500 555-0151",1970-05-19,"High School","Clerical","M","S",1,0,0,0,78379,"2017-03-06",1,50.22,54,"1"
11046,"NULL","Christine","NULL","Yuan","NULL","2356 Orange St","NULL","Lavender Bay","New South Wales","Australia","2060","1 (11) 500 555-0113",1970-03-22,"High School","Skilled Manual","F","M",1,2,0,2,51601,"2017-03-06",0,48.12,54,"3"
11047,"NULL","Jaclyn","D","Lu","NULL","2812 Mazatlan","NULL","Geelong","Victoria","Australia","3220","1 (11) 500 555-0137",1970-02-27,"High School","Skilled Manual","F","M",1,1,0,2,53046,"2017-03-06",1,48.1,54,"3"
